Row,Person,Total Gross,# Movies, Average,#1 Picture,Gross
316,Brad Lewis,$191.50 ,1,$191.50 ,Cars 2,$191.50 
317,Michael Moore,$191.20 ,9,$21.20 ,Fahrenheit 9/11,$119.20 
318,"George Tillman, Jr.",$190.50 ,6,$31.80 ,Men of Honor,$48.80 
319,Jean-Jacques Annaud,$188.60 ,9,$21.00 ,Enemy at the Gates,$51.40 
320,Edgar Wright,$188.10 ,5,$37.60 ,Baby Driver,$93.30 
321,Baltasar Kormakur,$185.60 ,4,$46.40 ,2 Guns,$75.60 
322,Henry Selick,$184.70 ,4,$46.20 ,Coraline,$75.30 
323,Elizabeth Banks,$184.30 ,1,$184.30 ,Pitch Perfect 2,$184.30 
324,Wes Ball,$184.10 ,2,$92.10 ,The Maze Runner,$102.40 
325,Gavin O'Connor,$182.90 ,6,$30.50 ,The Accountant,$86.30 
326,Kirk Jones,$182.00 ,5,$36.40 ,My Big Fat Greek Wedding 2,$59.70 
327,Pierre Morel,$180.90 ,4,$45.20 ,Taken,$145.00 
328,Andrzej Bartkowiak,$179.40 ,5,$35.90 ,Romeo Must Die,$56.00 
329,Scott Hicks,$178.90 ,7,$25.60 ,The Lucky One,$60.50 
330,Albert Hughes,$178.80 ,5,$35.80 ,The Book of Eli,$94.80 
331,Aaron Seltzer,$177.40 ,5,$35.50 ,Date Movie,$48.50 
332,Marcus Nispel,$177.10 ,4,$44.30 ,Texas Chainsaw Massacre,$80.60 
333,Joe Carnahan,$175.10 ,4,$43.80 ,The A-Team,$77.20 
334,Joachim Ronning,$172.60 ,2,$86.30 ,Pirates of the Caribbean 5,$171.10 
335,Espen Sandberg,$172.60 ,2,$86.30 ,Pirates of the Caribbean 5,$171.10 
336,Peter Hewitt,$171.90 ,6,$28.70 ,Garfield,$75.40 
337,Sam Fell,$171.50 ,3,$57.20 ,Flushed Away,$64.70 
338,Jordan Vogt-Roberts,$169.40 ,2,$84.70 ,Kong: Skull Island,$168.10 
339,David Twohy,$169.20 ,6,$28.20 ,The Chronicles of Riddick,$57.80 
340,Jay Russell,$168.80 ,5,$33.80 ,Ladder 49,$74.50 
341,Mikael Hafstrom,$166.30 ,6,$27.70 ,1408,$72.00 
342,Lee Daniels,$165.30 ,4,$41.30 ,The Butler,$116.60 
343,Damien Chazelle,$164.20 ,3,$54.70 ,La La Land,$151.10 
344,Glenn Ficarra,$163.30 ,4,$40.80 ,"Crazy, Stupid, Love.",$84.40 
345,John Requa,$163.30 ,4,$40.80 ,"Crazy, Stupid, Love.",$84.40 
346,Paul Tibbitt,$163.00 ,1,$163.00 ,SpongeBob,$163.00 
347,Michel Gondry,$162.40 ,12,$13.50 ,The Green Hornet,$98.80 
348,James Wong,$160.70 ,4,$40.20 ,Final Destination 3,$54.10 
349,Roger Kumble,$158.90 ,5,$31.80 ,College Road Trip,$45.60 
350,Ruben Fleischer,$158.60 ,3,$52.90 ,Zombieland,$75.60 
351,Daniel Espinosa,$158.00 ,4,$39.50 ,Safe House,$126.40 
352,Barry Cook,$156.70 ,2,$78.30 ,Mulan,$120.60 
353,David Soren,$155.60 ,2,$77.80 ,Turbo,$83.00 
354,Rob Bowman,$154.20 ,4,$38.60 ,X-Files,$83.90 
355,Clark Johnson,$153.20 ,2,$76.60 ,S.W.A.T.,$116.90 
356,Jason Moore,$152.00 ,2,$76.00 ,Sisters,$87.00 
357,Ronny Yu,$151.40 ,5,$30.30 ,Freddy Vs. Jason,$82.60 
358,Michael Hoffman,$151.10 ,10,$15.10 ,One Fine Day,$46.20 
359,Neil LaBute,$149.20 ,9,$16.60 ,Death at a Funeral (2010),$42.70 
360,David Gordon Green,$148.40 ,11,$13.50 ,Pineapple Express,$87.30 
361,Spike Jonze,$148.20 ,4,$37.00 ,Where the Wild Things Are,$77.20 
362,Michael Lehman,$148.10 ,9,$16.50 ,Because I Said So,$42.70 
363,Steve Pink,$147.60 ,4,$36.90 ,Hot Tub Time Machine,$50.30 
364,Roman Polanski,$147.20 ,13,$11.30 ,The Pianist,$32.60 
365,Alex Kendrick,$145.90 ,4,$36.50 ,War Room,$67.80 
366,Carl Franklin,$145.80 ,6,$24.30 ,High Crimes,$41.50 
367,Jim Sheridan,$143.70 ,8,$18.00 ,Get Rich or Die Tryin',$31.00 
368,Fede Alvarez,$143.50 ,2,$71.70 ,Don't Breathe,$89.20 
369,Iain Softley,$139.20 ,6,$23.20 ,K-PAX,$50.30 
370,Jon Lucas,$138.90 ,2,$69.50 ,Bad Moms,$113.30 
371,Scott Moore,$138.90 ,2,$69.50 ,Bad Moms,$113.30 
372,Peter Lord,$137.90 ,2,$68.90 ,Chicken Run,$106.80 
373,Barbet Schroeder,$136.70 ,9,$15.20 ,Single White Female,$48.00 
374,James DeMonaco,$136.40 ,2,$68.20 ,The Purge: Anarchy,$72.00 
375,Forest Whitaker,$136.20 ,3,$45.40 ,Waiting to Exhale,$67.10 
376,Martha Coolidge,$135.70 ,11,$12.30 ,Out to Sea,$29.00 
377,Chad Stahelski,$135.10 ,2,$67.50 ,John Wick 2,$92.00 
378,John R. Leonetti,$133.50 ,3,$44.50 ,Annabelle,$84.30 
379,Paul Thomas Anderson,$131.60 ,7,$18.80 ,There Will Be Blood,$40.20 
380,Zhang Yimou,$130.60 ,16,$8.20 ,Hero,$53.70 
381,Stephen Daldry,$129.70 ,5,$25.90 ,The Hours,$41.70 
382,Gil Kenan,$129.00 ,3,$43.00 ,Monster House,$73.70 
383,Jason Friedberg,$128.80 ,4,$32.20 ,Epic Movie,$39.70 
384,Ryan Coogler,$125.90 ,2,$62.90 ,Creed,$109.80 
385,Michael Sucsy,$125.00 ,1,$125.00 ,The Vow,$125.00 
386,Josh Boone,$125.00 ,2,$62.50 ,The Fault in our Stars,$124.90 
387,James McTeigue,$124.60 ,3,$41.50 ,V for Vendetta,$70.50 
388,Bill Duke,$124.60 ,7,$17.80 ,Sister Act 2: Back in the Habit,$57.30 
389,Rob Zombie,$123.30 ,6,$20.50 ,Halloween (2007),$58.30 
390,Jay Chandrasekhar,$123.00 ,5,$24.60 ,The Dukes of Hazzard,$80.30 
391,Richard LaGravenese,$122.80 ,6,$20.50 ,P.S. I Love You,$53.70 
392,John Schultz,$122.40 ,6,$20.40 ,Like Mike,$51.40 
393,Dave Green,$121.00 ,2,$60.50 ,Teenage Mutant Ninja Turtles 2,$82.10 
394,Josh Trank,$120.70 ,2,$60.30 ,Chronicle,$64.60 
395,Irwin Winkler,$118.00 ,7,$16.90 ,The Net,$50.70 
396,Angelina Jolie,$116.50 ,3,$38.80 ,Unbroken,$115.60 
397,Bennett Miller,$116.50 ,3,$38.80 ,Moneyball,$75.60 
398,Noam Murro,$116.10 ,2,$58.00 ,300: Rise of An Empire,$106.60 
399,Frederik Du Chau,$116.00 ,3,$38.70 ,Racing Stripes,$49.80 
400,David S. Goyer,$115.70 ,3,$38.60 ,Blade: Trinity,$52.40 
401,David Koepp,$114.10 ,6,$19.00 ,Secret Window,$48.00 
402,Craig Gillespie,$114.10 ,5,$22.80 ,Million Dollar Arm,$36.50 
403,John Erick Dowdle,$113.90 ,4,$28.50 ,Devil,$33.60 
404,Mark Neveldine,$113.80 ,4,$28.50 ,Ghost Rider 2,$51.80 
405,Brian Taylor,$113.80 ,4,$28.50 ,Ghost Rider 2,$51.80 
406,Scott Waugh,$113.60 ,2,$56.80 ,Act of Valor,$70.00 
407,Scott Cooper,$113.40 ,3,$37.80 ,Black Mass,$62.60 
408,William Brent Bell,$112.20 ,3,$37.40 ,The Devil Inside,$53.30 
409,Burr Steers,$111.00 ,4,$27.80 ,17 Again,$64.20 
410,Miguel Arteta,$111.00 ,6,$18.50 ,Alexander,$67.00 
