Row,Person,Total Gross,# Movies, Average,#1 Picture,Gross
757,Lake Bell,$3.00 ,1,$3.00 ,In a World,$3.00 
758,Clark Gregg,$2.90 ,1,$2.90 ,Choke,$2.90 
759,Keith Gordon,$2.80 ,5,$568k,A Midnight Clear,$1.50 
760,Dustin Marcellino,$2.80 ,1,$2.80 ,The Identical,$2.80 
761,Robert B. Weide,$2.80 ,1,$2.80 ,How to Lose Friends and Alienate People,$2.80 
762,Gregory Levasseur,$2.80 ,1,$2.80 ,The Pyramid,$2.80 
763,Vincent Gallo,$2.70 ,2,$1.40 ,Buffalo '66,$2.40 
764,Zal Batmanglij,$2.70 ,2,$1.40 ,The East,$2.30 
765,Dan Ireland,$2.60 ,4,$660k,Mrs. Palfrey at the Claremont,$1.70 
766,Don Cheadle,$2.60 ,1,$2.60 ,Miles Ahead,$2.60 
767,James Vanderbilt,$2.50 ,1,$2.50 ,Truth,$2.50 
768,Claire Denis,$2.30 ,2,$1.20 ,Chocolat (1989),$2.30 
769,Eran Creevy,$2.30 ,2,$1.10 ,Collide,$2.30 
770,David Hare,$2.30 ,3,$760k,Wetherby,$1.30 
771,Oren Moverman,$2.20 ,3,$750k,The Messenger,$1.10 
772,Lynne Ramsay,$2.20 ,3,$741k,We Need to Talk About Kevin,$1.70 
773,David Michod,$2.20 ,2,$1.10 ,The Rover,$1.10 
774,Tom DiCillo,$2.20 ,5,$431k,Living in Oblivion,$1.10 
775,Joseph Cedar,$2.10 ,3,$715k,Footnote,$2.00 
776,Gregg Araki,$2.00 ,7,$292k,Mysterious Skin,$713k
777,Jonas Cuaron,$2.00 ,1,$2.00 ,Desierto,$2.00 
778,Ralph Fiennes,$2.00 ,2,$996k,The Invisible Woman,$1.20 
779,Adam Del Deo,$1.80 ,3,$590k,Every Little Step,$1.70 
780,Mike White,$1.50 ,1,$1.50 ,Year of the Dog,$1.50 
781,Steven Knight,$1.40 ,2,$706k,Locke,$1.40 
782,Gaspar Noe,$1.40 ,3,$459k,Irreversible,$792k
783,Mike Cahill,$1.30 ,1,$1.30 ,Another Earth,$1.30 
784,Leslye Headland,$1.30 ,2,$634k,Sleeping with Other People,$819k
785,Chris Terrio,$1.20 ,1,$1.20 ,Heights,$1.20 
786,Bob Yari,$1.10 ,1,$1.10 ,Papa: Hemingway in Cuba,$1.10 
787,Rodrigo Cortes,$1.10 ,2,$548k,Buried,$1.00 
788,Jim Wilson,$1.10 ,2,$548k,50 to 1,$1.10 
789,John Krasinski,$1.10 ,2,$525k,The Hollars,$1.00 
790,Michael Mayer,$1.00 ,1,$1.00 ,A Home at the End of the World,$1.00 
791,Joe Cornish,$1.00 ,1,$1.00 ,Attack the Block,$1.00 
792,Prabhu Dheva,$919k,1,$919k,Singh is Bling,$919k
793,Paul Newman,$896k,1,$896k,The Glass Menagerie,$896k
794,Vera Farmiga,$842k,1,$842k,Higher Ground,$842k
795,Kirby Dick,$831k,5,$166k,This Film Is Not Yet Rated,$307k
796,William Nicholson,$785k,1,$785k,Firelight,$785k
797,Ethan Hawke,$775k,2,$387k,Seymour: An Introduction,$744k
798,Azazel Jacobs,$756k,2,$378k,Terri,$656k
799,Jacob Aaron Estes,$668k,2,$334k,Mean Creek,$604k
800,Sebastián Silva,$656k,2,$328k,The Maid,$577k
801,David Chase,$611k,1,$611k,Not Fade Away,$611k
802,Madonna,$606k,2,$303k,W.E.,$583k
803,Ned Benson,$588k,1,$588k,The Disappearance of Eleanor Rigby,$588k
804,Shane Salerno,$584k,1,$584k,Salinger,$584k
805,James Keach,$581k,4,$145k,Glen Campbell... I'll Be Me,$365k
806,Natalie Portman,$572k,1,$572k,A Tale of Love and Darkness,$572k
807,Alan Rickman,$558k,1,$558k,A Little Chaos,$558k
808,Ewan McGregor,$544k,1,$544k,American Pastoral,$544k
809,Josh Radnor,$543k,2,$272k,Liberal Arts,$327k
810,Philip Seymour Hoffman,$542k,1,$542k,Jack Goes Boating,$542k
811,Joe Swanberg,$521k,5,$104k,Drinking Buddies,$343k
812,Hossein Amini,$507k,1,$507k,The Two Faces of January,$507k
813,Bobcat Goldthwait,$475k,4,$119k,World's Greatest Dad,$222k
814,Roman Coppola,$460k,2,$230k,CQ,$414k
815,Casey Affleck,$409k,1,$409k,I'm Still Here,$409k
816,Steve Conrad,$409k,1,$409k,The Promotion,$409k
817,Alex Ross Perry,$402k,4,$100k,Listen Up Philip,$200k
818,David Duchovny,$389k,1,$389k,House of D,$389k
819,Spencer Susser,$383k,1,$383k,Hesher,$383k
820,Ti West,$348k,6,$58.1k,The House of the Devil,$101k
821,Michael Keaton,$348k,1,$348k,The Merry Gentleman,$348k
822,John Ridley,$346k,2,$173k,Jimi: All Is By My Side,$341k
823,Josh Sternfeld,$319k,1,$319k,Winter Solstice,$319k
824,Demetri Martin,$255k,1,$255k,Dean,$255k
825,Jeremy Brock,$240k,1,$240k,Driving Lessons,$240k
826,Robert D. Siegel,$235k,1,$235k,Big Fan,$235k
827,Guillermo Arriaga,$233k,2,$116k,The Burning Plain,$201k
828,Dan Harris,$229k,1,$229k,Imaginary Heroes,$229k
829,Mike Myers,$213k,1,$213k,Supermensch: The Legend of Shep Gordon,$213k
830,Ed Solomon,$210k,1,$210k,Levity,$210k
831,Jamie Linden,$203k,1,$203k,10 Years,$203k
832,Jordan Roberts,$194k,1,$194k,Around the Bend,$194k
833,Edward Burns,$188k,4,$47.1k,The Groomsmen,$129k
834,John Slattery,$170k,1,$170k,God's Pocket,$170k
835,Zak Penn,$153k,2,$76.7k,The Grand,$116k
836,Malcolm Venville,$142k,2,$70.8k,Henry's Crime,$103k
837,Jackie Chan,$136k,1,$136k,1911,$136k
838,Luke Wilson,$127k,1,$127k,The Wendell Baker Story,$127k
839,Kiefer Sutherland,$109k,1,$109k,"Truth or Consequences, N.M.",$109k
840,James Franco,$105k,4,$26.4k,Interior. Leather Bar.,$42.5k
841,Keanu Reeves,$100k,1,$100k,Man of Tai Chi,$100k
842,Kevin Bacon,$97.4k,2,$48.7k,Losing Chase,$64.2k
843,Tim Allen,$88.3k,1,$88.3k,Crazy on the Outside,$88.3k
844,Don Hahn,$80.7k,1,$80.7k,Waking Sleeping Beauty,$80.7k
845,Anthony Hopkins,$78.0k,2,$39.0k,August (1996),$69.1k
846,John August,$63.2k,1,$63.2k,The Nines,$63.2k
847,Melisa Wallack,$62.6k,1,$62.6k,Meet Bill,$62.6k
848,William H. Macy,$58.3k,1,$58.3k,Rudderless,$58.3k
849,Peter Tolan,$57.3k,1,$57.3k,Finding Amanda,$57.3k
850,Goro Miyazaki,$48.5k,1,$48.5k,Tales from Earthsea,$48.5k
851,Ryan Gosling,$45.4k,1,$45.4k,Lost River,$45.4k
852,Melanie Laurent,$42.3k,1,$42.3k,Breathe,$42.3k
853,Matthew Lillard,$41.5k,1,$41.5k,Fat Kid Rules the World,$41.5k
854,Chris Evans,$37.2k,1,$37.2k,Before We Go,$37.2k
855,Nicolas Cage,$30.0k,1,$30.0k,Sonny,$30.0k
856,William Monahan,$24.3k,2,$12.2k,London Boulevard,$16.1k
857,Geoffrey Fletcher,$17.2k,1,$17.2k,Violet & Daisy,$17.2k
858,Lonzo Nzekwe,$15.8k,1,$15.8k,Anchor Baby,$15.8k
859,Billy Bob Thornton,$14.8k,1,$14.8k,Jayne Mansfield's Car,$14.8k
860,Stewart Wade,$13.9k,2,$6.9k,Tru Loved,$9.5k
861,Mark Ruffalo,$13.8k,1,$13.8k,Sympathy for Delicious,$13.8k
862,Michele Mulroney,$13.5k,1,$13.5k,Paper Man,$13.5k
863,Kieran Mulroney,$13.5k,1,$13.5k,Paper Man,$13.5k
864,Dustin Lance Black,$12.7k,1,$12.7k,Virginia,$12.7k
865,Ryan Piers Williams,$11.8k,1,$11.8k,The Dry Land,$11.8k
866,Ernie Barbarash,$11.8k,1,$11.8k,Falcon Rising,$11.8k
867,Nia Vardalos,$11.0k,1,$11.0k,I Hate Valentine's Day,$11.0k
868,Courteney Cox,$11.0k,1,$11.0k,Just Before I Go,$11.0k
869,Thomas Lennon & Ben Garant,$8.8k,1,$8.8k,Hell Baby,$8.8k
870,Greta Gerwig,$5.4k,1,$5.4k,Nights and Weekends,$5.4k
871,Famke Janssen,$5.0k,1,$5.0k,Bringing Up Bobby,$5.0k
