,odid,display_name,od_name,production_year,running_time,sequel,opening_weekend_revenue,opening_weekend_theaters,maximum_theaters,theatrical_engagements,production_budget,domestic_box_office,international_box_office,inflation_adjusted_domestic_box_office,name_length,source_category.fiction_tale_novel,source_category.music_dance,source_category.original_screenplay,source_category.others,source_category.play_TV_movie_film,source_category.real_factual,source_category.NA,production_companies_size.Big_15,production_companies_size.Extra_small,production_companies_size.Large,production_companies_size.Medium,production_companies_size.NULL,production_companies_size.Others,production_companies_size.Small,Rank.others.x,Rank.act_1000,Rank.act_250,Rank.act_500.x,Rank.act_750,genre.Action,genre.Adventure,genre.Comedy,genre.Concert/Performance,genre.Documentary,genre.Drama,genre.Horror,genre.Musical,genre.Others,genre.Thriller/Suspense,genre.Western,rating.G,rating.NC-17,rating.Not Rated,rating.Open,rating.PG,rating.PG-13,rating.R,Rank.others.y,Rank.dir_100,Rank.dir_20,Rank.dir_200,Rank.dir_500,Rank.dir_900,Rank.others
4768,90900100,Emmanuel's Gift,Emmanuels Gift,2005,NA,0,14642,6,6,10,0,23578,0,31006,15,0,0,0,0,0,1,0,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,1
4769,90920100,Sex and Death 101,Sex and Death 101,2008,NA,0,13516,5,5,7,0,23563,0,27659,17,0,0,1,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,1
4770,90930100,In Between Days,In Between Days,2007,NA,0,5065,1,4,14,0,23465,0,28746,15,0,0,1,0,0,0,0,0,0,0,1,0,0,1,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,1
4771,90940100,The Sensation of Sight,Sensation of Sight The,2007,NA,0,8737,1,4,17,0,23457,0,28401,22,0,0,1,0,0,0,0,0,0,1,1,0,0,1,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,1
4772,90950100,Spriggan,Spriggan,2001,NA,0,7420,5,5,14,0,23453,0,34925,8,0,0,0,0,0,0,1,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,1
4773,90960100,Dai-Nipponjin,Dai Nipponjin,2007,113,0,7133,2,3,9,0,23446,7905169,26352,13,0,0,1,0,0,0,0,0,0,0,1,0,0,1,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,0,0,0,1
4774,90970100,Il Ne Faut Jurer de Rien,Il Ne Faut Jurer de Rien,2007,NA,0,9836,6,6,15,0,23442,0,28721,24,0,0,0,0,0,0,1,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,1
4775,90980100,Death in Love,Death in Love,2009,NA,0,14296,4,4,7,0,23412,0,26310,13,0,0,0,0,0,0,1,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,1
4776,90990100,Just One Time,Just One Time,2000,NA,0,5364,1,2,9,0,23374,0,36241,13,0,0,0,0,0,0,1,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,1,0
4777,91000100,All the Little Animals,All the Little Animals,1999,NA,0,11888,10,10,16,0,23349,0,38744,22,1,0,0,0,0,0,0,0,0,0,0,1,1,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,1
4778,91020100,Les anges exterminateurs,Anges exterminateurs Les,2007,NA,0,6485,1,2,6,0,23308,0,28552,24,0,0,1,0,0,0,0,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,1,0
4779,91030100,Xiang ri kui,Xiang ri kui,2007,NA,0,4195,1,1,5,0,23307,0,28552,12,0,0,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,1
4780,91040100,Bangkok Dangerous,Bangkok Dangerous (1999),1999,NA,0,3026,2,2,10,0,23300,0,34555,17,0,0,1,0,0,0,0,0,0,0,1,0,1,0,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,1,0,0,0,0
4781,91050100,Forever,Forever,2007,NA,0,0,0,1,5,0,25222,0,29606,7,0,0,0,0,0,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,1
4782,91060100,The Tripper,Tripper The,2007,NA,0,20840,50,50,50,0,23200,0,28426,11,0,0,1,0,0,0,0,0,1,0,0,0,1,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,1,0,0
4783,91070100,Divorce: The Musical,Divorce The Musical,2002,NA,0,8332,1,1,2,0,23144,0,33577,20,0,0,0,0,0,0,1,0,1,0,1,0,0,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,1
4784,91080100,Dear Wendy,Dear Wendy,2005,NA,0,8222,7,7,26,8000000,23106,423332,30281,10,0,0,1,0,0,0,0,0,0,0,0,1,1,0,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,1
4785,91090100,On Broadway,On Broadway,2008,NA,0,9500,5,5,14,0,23095,0,27111,11,0,0,1,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,1
